dataset,subject,elec_idx,elec,z,p
Angelique,S10,43,t43,1.0297,0.16406
Angelique,S10,44,t44,0.827,0.22656
Angelique,S10,45,t45,0.4755,0.32031
Angelique,S10,46,t46,0.1997,0.41406
Angelique,S10,47,t47,-0.0401,0.55469
Angelique,S10,48,t48,-0.2312,0.60156
Angelique,S10,49,t49,-0.3197,0.61719
Angelique,S10,50,t50,-0.4406,0.64844
Angelique,S10,51,t51,-0.6854,0.69531
Angelique,S10,52,t52,-0.9578,0.78906
Angelique,S10,53,t53,-1.2214,0.88281
Angelique,S10,54,t54,-1.5108,0.96094
Angelique,S10,55,t55,-1.6684,0.96094
Angelique,S10,56,t56,-1.717,0.96094
Angelique,S10,57,t57,-1.7164,0.96094
Angelique,S10,58,t58,-1.0948,0.83594
Angelique,S10,59,t59,0.402,0.35156
Angelique,S10,60,t60,0.9797,0.19531
Angelique,S10,61,t61,1.1944,0.13281
Angelique,S10,62,t62,1.2248,0.10156
Angelique,S10,63,t63,1.1873,0.11719
Angelique,S11,0,t00,-0.3714,0.61719
Angelique,S11,1,t01,-0.1938,0.57031
Angelique,S11,2,t02,-0.3271,0.61719
Angelique,S11,3,t03,-0.454,0.64844
Angelique,S11,4,t04,-0.2743,0.53906
Angelique,S11,5,t05,0.1884,0.44531
Angelique,S11,6,t06,1.2661,0.11719
Angelique,S11,7,t07,1.8644,0.02344
Angelique,S11,8,t08,1.4598,0.07031
Angelique,S11,9,t09,0.7948,0.19531
Angelique,S11,10,t10,0.4494,0.32031
Angelique,S11,11,t11,0.7168,0.24219
Angelique,S11,12,t12,1.4818,0.07031
Angelique,S11,13,t13,1.6846,0.03906
Angelique,S11,14,t14,1.2485,0.10156
Angelique,S11,15,t15,0.6026,0.28906
Angelique,S11,16,t16,0.8567,0.27344
Angelique,S11,17,t17,1.5842,0.02344
Angelique,S11,18,t18,1.6226,0.00781
Angelique,S11,19,t19,1.5429,0.00781
Angelique,S11,20,t20,1.7253,0.00781
Angelique,S11,21,t21,1.635,0.03906
Angelique,S11,22,t22,1.1829,0.13281
Angelique,S11,23,t23,0.7522,0.24219
Angelique,S11,24,t24,0.5582,0.32031
Angelique,S11,25,t25,0.9478,0.21094
Angelique,S11,26,t26,1.4694,0.10156
Angelique,S11,27,t27,1.7354,0.03906
Angelique,S11,28,t28,1.8348,0.00781
Angelique,S11,29,t29,1.619,0.05469
Angelique,S11,30,t30,1.1822,0.10156
Angelique,S11,31,t31,0.8042,0.25781
Angelique,S11,32,t32,0.9304,0.17969
Angelique,S11,33,t33,0.9164,0.22656
Angelique,S11,34,t34,0.3608,0.38281
Angelique,S11,35,t35,-0.3821,0.64844
Angelique,S11,36,t36,-0.5859,0.64844
Angelique,S11,37,t37,-0.1666,0.55469
Angelique,S11,38,t38,0.1446,0.46094
Angelique,S11,39,t39,-0.1425,0.58594
Angelique,S11,40,t40,-0.6175,0.67969
Angelique,S11,41,t41,-0.5854,0.63281
Angelique,S11,42,t42,-0.6534,0.58594
Angelique,S11,43,t43,-1.0944,0.80469
Angelique,S11,44,t44,-1.2034,0.86719
Angelique,S11,45,t45,-0.8645,0.75781
Angelique,S11,46,t46,-0.6595,0.66406
Angelique,S11,47,t47,-0.6754,0.66406
Angelique,S11,48,t48,-0.6766,0.69531
Angelique,S11,49,t49,-0.7674,0.66406
Angelique,S11,50,t50,-0.9841,0.80469
Angelique,S11,51,t51,-1.0606,0.82031
Angelique,S11,52,t52,-0.908,0.74219
Angelique,S11,53,t53,-1.121,0.83594
Angelique,S11,54,t54,-1.6973,0.96094
Angelique,S11,55,t55,-1.8778,0.97656
Angelique,S11,56,t56,-1.7846,0.99219
Angelique,S11,57,t57,-1.723,0.99219
Angelique,S11,58,t58,-1.6789,0.94531
Angelique,S11,59,t59,-1.5521,0.91406
Angelique,S11,60,t60,-1.0622,0.83594
Angelique,S11,61,t61,-0.3454,0.64844
Angelique,S11,62,t62,-0.1802,0.53906
Angelique,S11,63,t63,-0.5293,0.64844
Angelique,S13,0,t00,2.0775,0.00781
Angelique,S13,1,t01,2.1797,0.02344
Angelique,S13,2,t02,2.4106,0.00781
Angelique,S13,3,t03,2.3348,0.00781
Angelique,S13,4,t04,2.36,0.00781
Angelique,S13,5,t05,2.3054,0.00781
Angelique,S13,6,t06,1.0994,0.14844
Angelique,S13,7,t07,-0.031,0.50781
Angelique,S13,8,t08,-0.092,0.53906
Angelique,S13,9,t09,-0.2568,0.60156
Angelique,S13,10,t10,-0.1612,0.55469
Angelique,S13,11,t11,0.4469,0.33594
