dataset,subject,elec_idx,elec,z,p
Angelique,S10,27,t27,-1.4109,0.92969
Angelique,S10,28,t28,-1.2002,0.89844
Angelique,S10,29,t29,-1.0837,0.83594
Angelique,S10,30,t30,-1.0708,0.83594
Angelique,S10,31,t31,-1.0532,0.83594
Angelique,S10,32,t32,-0.9521,0.80469
Angelique,S10,33,t33,-0.7888,0.74219
Angelique,S10,34,t34,-0.6264,0.71094
Angelique,S10,35,t35,-0.5083,0.67969
Angelique,S10,36,t36,-0.4623,0.63281
Angelique,S10,37,t37,-0.4856,0.63281
Angelique,S10,38,t38,-0.5566,0.58594
Angelique,S10,39,t39,-0.6251,0.57031
Angelique,S10,40,t40,-0.6683,0.58594
Angelique,S10,41,t41,-0.7081,0.64844
Angelique,S10,42,t42,-0.763,0.67969
Angelique,S10,43,t43,-0.8313,0.72656
Angelique,S10,44,t44,-0.8677,0.77344
Angelique,S10,45,t45,-0.8925,0.78906
Angelique,S10,46,t46,-0.9367,0.82031
Angelique,S10,47,t47,-1.0014,0.78906
Angelique,S10,48,t48,-1.0882,0.82031
Angelique,S10,49,t49,-1.2081,0.86719
Angelique,S10,50,t50,-1.3443,0.88281
Angelique,S10,51,t51,-1.4161,0.91406
Angelique,S10,52,t52,-1.3998,0.91406
Angelique,S10,53,t53,-1.3209,0.91406
Angelique,S10,54,t54,-1.2137,0.88281
Angelique,S10,55,t55,-1.1386,0.86719
Angelique,S10,56,t56,-1.1547,0.88281
Angelique,S10,57,t57,-1.2635,0.89844
Angelique,S10,58,t58,-1.382,0.91406
Angelique,S10,59,t59,-1.4118,0.89844
Angelique,S10,60,t60,-1.3636,0.92969
Angelique,S10,61,t61,-1.3529,0.92969
Angelique,S10,62,t62,-1.3865,0.91406
Angelique,S10,63,t63,-1.4156,0.91406
Angelique,S11,0,t00,0.2294,0.38281
Angelique,S11,1,t01,0.25,0.38281
Angelique,S11,2,t02,0.2612,0.38281
Angelique,S11,3,t03,0.2564,0.38281
Angelique,S11,4,t04,0.2476,0.33594
Angelique,S11,5,t05,0.2409,0.33594
Angelique,S11,6,t06,0.1993,0.35156
Angelique,S11,7,t07,0.1166,0.41406
Angelique,S11,8,t08,0.0549,0.47656
Angelique,S11,9,t09,0.0642,0.47656
Angelique,S11,10,t10,0.1284,0.49219
Angelique,S11,11,t11,0.202,0.41406
Angelique,S11,12,t12,0.248,0.39844
Angelique,S11,13,t13,0.2447,0.39844
Angelique,S11,14,t14,0.2357,0.41406
Angelique,S11,15,t15,0.2574,0.39844
Angelique,S11,16,t16,0.2978,0.39844
Angelique,S11,17,t17,0.3686,0.38281
Angelique,S11,18,t18,0.464,0.32031
Angelique,S11,19,t19,0.4935,0.33594
Angelique,S11,20,t20,0.4123,0.38281
Angelique,S11,21,t21,0.2799,0.41406
Angelique,S11,22,t22,0.1508,0.46094
Angelique,S11,23,t23,0.0814,0.46094
Angelique,S11,24,t24,0.0805,0.46094
Angelique,S11,25,t25,0.0822,0.46094
Angelique,S11,26,t26,0.0197,0.49219
Angelique,S11,27,t27,-0.0892,0.57031
Angelique,S11,28,t28,-0.1793,0.58594
Angelique,S11,29,t29,-0.2345,0.58594
Angelique,S11,30,t30,-0.2573,0.58594
Angelique,S11,31,t31,-0.2166,0.55469
Angelique,S11,32,t32,-0.1034,0.52344
Angelique,S11,33,t33,0.0662,0.46094
Angelique,S11,34,t34,0.2376,0.36719
Angelique,S11,35,t35,0.3514,0.32031
Angelique,S11,36,t36,0.4097,0.28906
Angelique,S11,37,t37,0.4482,0.27344
Angelique,S11,38,t38,0.4934,0.25781
Angelique,S11,39,t39,0.5201,0.25781
Angelique,S11,40,t40,0.4978,0.25781
Angelique,S11,41,t41,0.4668,0.28906
Angelique,S11,42,t42,0.4683,0.30469
Angelique,S11,43,t43,0.5039,0.28906
Angelique,S11,44,t44,0.5532,0.27344
Angelique,S11,45,t45,0.5671,0.28906
Angelique,S11,46,t46,0.5044,0.32031
Angelique,S11,47,t47,0.3838,0.41406
Angelique,S11,48,t48,0.2918,0.44531
Angelique,S11,49,t49,0.2909,0.44531
Angelique,S11,50,t50,0.337,0.42969
Angelique,S11,51,t51,0.3576,0.42969
Angelique,S11,52,t52,0.3372,0.42969
Angelique,S11,53,t53,0.3081,0.41406
Angelique,S11,54,t54,0.3098,0.41406
Angelique,S11,55,t55,0.352,0.36719
Angelique,S11,56,t56,0.4141,0.32031
Angelique,S11,57,t57,0.4603,0.32031
Angelique,S11,58,t58,0.4722,0.32031
Angelique,S11,59,t59,0.4458,0.32031
Angelique,S11,60,t60,0.3811,0.32031
Angelique,S11,61,t61,0.3099,0.36719
Angelique,S11,62,t62,0.2657,0.38281
Angelique,S11,63,t63,0.2618,0.38281
Angelique,S13,0,t00,-0.893,0.77344
Angelique,S13,1,t01,-0.5409,0.69531
Angelique,S13,2,t02,-0.2984,0.71094
Angelique,S13,3,t03,0.0039,0.47656
Angelique,S13,4,t04,0.6571,0.27344
Angelique,S13,5,t05,1.2062,0.14844
Angelique,S13,6,t06,1.2842,0.10156
Angelique,S13,7,t07,1.3582,0.10156
Angelique,S13,8,t08,1.4827,0.07031
Angelique,S13,9,t09,1.2266,0.13281
Angelique,S13,10,t10,0.7454,0.22656
Angelique,S13,11,t11,0.3463,0.41406
Angelique,S13,12,t12,-0.1178,0.53906
Angelique,S13,13,t13,-0.3693,0.63281
Angelique,S13,14,t14,-0.2829,0.58594
Angelique,S13,15,t15,-0.2556,0.53906
Angelique,S13,16,t16,-0.2048,0.57031
Angelique,S13,17,t17,0.1208,0.49219
Angelique,S13,18,t18,0.4447,0.46094
Angelique,S13,19,t19,0.6608,0.38281
