dataset,subject,variant,arm,stat,z,p,n_assignments
Talia,S12,A0_tdca,ctrl,0.023202818182890012,0.8035576407842124,0.1875,16
Talia,S13,A0_tdca,ctrl,-0.010248482557474653,0.9275383774958388,0.3125,16
Talia,S14,A0_tdca,ctrl,-0.018202228636858296,-0.20254905393348968,0.4375,16
Talia,S15,A0_tdca,ctrl,-0.01970655975968359,1.5016897407224554,0.0625,16
Angelique,S02,A1_roimean,disc,0.6874614158205651,0.35963300298812606,0.453125,64
Angelique,S03,A1_roimean,disc,1.3179456467562607,2.2411093082026956,0.015625,64
Angelique,S04,A1_roimean,disc,-0.29049246439209503,-0.8382193907808796,0.828125,64
Angelique,S05,A1_roimean,disc,1.080341078530252,1.7804621573077772,0.015625,64
Angelique,S07,A1_roimean,disc,2.2375109664528603,1.6366715565990622,0.078125,64
Angelique,S08,A1_roimean,disc,1.0092837751705914,1.6235069709814225,0.046875,64
Angelique,S09,A1_roimean,disc,0.6862838816417257,1.5157207480004813,0.078125,64
Angelique,S10,A1_roimean,disc,0.6642610293637191,1.5348334549901284,0.046875,64
Angelique,S11,A1_roimean,disc,1.117608437598778,1.6644270491026878,0.015625,64
Angelique,S13,A1_roimean,disc,1.8535968486717183,1.665282013076878,0.015625,64
Angelique,S15,A1_roimean,disc,1.774146489981054,1.7965243295317939,0.015625,64
Angelique,S16,A1_roimean,disc,2.3623744852638437,1.8003653883861246,0.015625,32
Angelique,S18,A1_roimean,disc,1.5862478178352513,1.5211960961223299,0.078125,64
Angelique,S19,A1_roimean,disc,0.031884272776288095,0.5291196823537551,0.390625,64
Angelique,S21,A1_roimean,disc,-1.3198964367794488,-1.0079017290365935,0.796875,64
Angelique,S22,A1_roimean,disc,0.15728969350643293,0.7442971022431919,0.265625,64
Angelique,S23,A1_roimean,disc,-0.011450883775143741,-0.39967968120261516,0.671875,64
Angelique,S24,A1_roimean,disc,2.2444804468216595,1.535133413219681,0.078125,64
Angelique,S25,A1_roimean,disc,0.24864449284827783,0.4899166078634866,0.328125,64
Angelique,S26,A1_roimean,disc,0.9600190510488273,1.8569017170405366,0.015625,64
Angelique,S27,A1_roimean,disc,-0.05498716936410566,-0.10607186186672997,0.546875,64
Angelique,S28,A1_roimean,disc,0.09330903618109938,-0.16649772529477433,0.578125,64
Angelique,S29,A1_roimean,disc,1.727293521977102,1.4551073269703918,0.015625,64
Angelique,S31,A1_roimean,disc,-0.30073578564091635,-0.12744014543093543,0.609375,64
Angelique,S32,A1_roimean,disc,-1.0616586035371558,-0.6902002737938931,0.796875,64
Angelique,S33,A1_roimean,disc,1.0510145338819818,1.913529837915199,0.015625,64
Angelique,S34,A1_roimean,disc,3.451954328730995,2.062254898928576,0.015625,64
Angelique,S35,A1_roimean,disc,0.3012570429751711,0.007920322368814714,0.578125,64
Angelique,S37,A1_roimean,disc,1.0858448490522938,0.7720242083452362,0.203125,64
Angelique,S38,A1_roimean,disc,0.856894701590301,1.0165547143082017,0.140625,64
Talia,S01,A1_roimean,disc,0.6092685137635128,0.420839326807662,0.5625,16
Talia,S02,A1_roimean,disc,-0.46464586651629525,-0.5309445994613975,0.5625,16
Talia,S03,A1_roimean,disc,1.1516397091646222,1.276369200247113,0.0625,16
Talia,S04,A1_roimean,disc,2.6851193276804657,1.446884748797588,0.0625,16
Talia,S05,A1_roimean,disc,1.7326589639419523,1.2513624542995836,0.0625,16
Talia,S06,A1_roimean,disc,1.2678206728845711,1.423166953074657,0.0625,16
Talia,S07,A1_roimean,disc,2.285163714490851,1.6286085500646086,0.0625,16
Talia,S08,A1_roimean,disc,1.3415364561127952,1.4715162700108178,0.0625,16
Talia,S09,A1_roimean,disc,3.8441764120378457,1.458274965212743,0.0625,16
Talia,S10,A1_roimean,disc,1.1756472458094518,0.8803825483425509,0.1875,16
Talia,S11,A1_roimean,disc,3.1065441063293298,1.7374042429290477,0.0625,16
Talia,S12,A1_roimean,disc,3.2363022742196956,1.6526247733340014,0.0625,16
Talia,S13,A1_roimean,disc,0.8582386950720599,0.9900145213283669,0.0625,16
Talia,S14,A1_roimean,disc,1.486132426307398,1.5276615138796314,0.0625,16
Talia,S15,A1_roimean,disc,1.2240095446727104,1.0668851068689766,0.0625,16
Angelique,S02,A1_roimean,ctrl,-1.2775419712837126,0.381726207150048,0.421875,64
Angelique,S03,A1_roimean,ctrl,-0.5062810322659715,0.6786165456843227,0.234375,64
Angelique,S04,A1_roimean,ctrl,-4.817624471389819,0.06258971310310414,0.359375,64
Angelique,S05,A1_roimean,ctrl,-0.4311528693385907,0.9455413300283476,0.140625,64
Angelique,S07,A1_roimean,ctrl,-3.044595919700926,1.153690790349481,0.171875,64
Angelique,S08,A1_roimean,ctrl,-0.9771112542699391,-0.9564971313164397,0.734375,64
Angelique,S09,A1_roimean,ctrl,-1.9443989949579026,-1.8278969505945555,0.984375,64
Angelique,S10,A1_roimean,ctrl,-5.759387890215744,-0.989799141860593,0.796875,64
Angelique,S11,A1_roimean,ctrl,-4.341342963526509,-0.044834109797846286,0.546875,64
Angelique,S13,A1_roimean,ctrl,-2.497237454400756,-1.2836870255496395,0.890625,64
Angelique,S15,A1_roimean,ctrl,-1.452725934259364,1.71306331547343,0.046875,64
Angelique,S16,A1_roimean,ctrl,-1.7058025894431537,-0.9720766577308486,0.796875,32
