dataset,subject,modality,font,delta_snr,mean_par_snr,mean_ctrl_snr,delta_erp,mean_par_erp,mean_ctrl_erp
Angelique,S16,Dig,20F/A,0.0132313072681427,1.0380031168460846,1.024771809577942,-0.03696635365486145,0.5943816006183624,0.6313479542732239
Angelique,S16,NumWoGE,1F,-0.1263883411884308,1.0498250722885132,1.176213413476944,0.1978590190410614,0.8374203443527222,0.6395613253116608
Angelique,S16,NumWoGE,20F/A,0.435881644487381,1.4344848990440369,0.9986032545566559,0.12978896498680115,0.7917034924030304,0.6619145274162292
Angelique,S16,NumWoGE,20F/S,-0.3865479528903961,1.148630052804947,1.535178005695343,0.48562613129615784,1.1583681404590607,0.6727420091629028
Angelique,S18,Dig,1F,0.29798442125320435,0.978119969367981,0.6801355481147766,-0.022402316331863403,0.4324091374874115,0.4548114538192749
Angelique,S18,Dig,20F/A,-0.44609081745147705,0.8912414908409119,1.337332308292389,-0.018322795629501343,0.4695086032152176,0.48783139884471893
Angelique,S18,Dig,20F/S,0.4223012328147888,1.3856064677238464,0.9633052349090576,0.0894935131072998,0.5044760704040527,0.41498255729675293
Angelique,S18,NumWoGE,1F,-0.4197409152984619,0.8218127489089966,1.2415536642074585,-0.02145792543888092,0.4418926239013672,0.4633505493402481
Angelique,S18,NumWoGE,20F/A,0.15015581250190735,0.9395056664943695,0.7893498539924622,-0.0644436925649643,0.43293827772140503,0.4973819702863693
Angelique,S18,NumWoGE,20F/S,-0.23712289333343506,1.014061152935028,1.2511840462684631,-0.02680349349975586,0.49151912331581116,0.518322616815567
Angelique,S19,Dig,1F,0.030766993761062622,0.8603395819664001,0.8295725882053375,0.06476938724517822,0.6515885591506958,0.5868191719055176
Angelique,S19,Dig,20F/A,0.09444978833198547,1.379047840833664,1.2845980525016785,-0.1327638328075409,0.5217164158821106,0.6544802486896515
Angelique,S19,Dig,20F/S,0.02429315447807312,1.092762053012848,1.0684688985347748,0.015043199062347412,0.664402186870575,0.6493589878082275
Angelique,S19,NumWoGE,1F,-0.4737570881843567,1.197939157485962,1.6716962456703186,0.055708855390548706,0.7542492151260376,0.6985403597354889
Angelique,S19,NumWoGE,20F/A,-0.6829888224601746,0.9711903929710388,1.6541792154312134,-0.15701374411582947,0.5782347023487091,0.7352484464645386
Angelique,S19,NumWoGE,20F/S,0.16992336511611938,1.1643256545066833,0.994402289390564,0.11238282918930054,0.6638997495174408,0.5515169203281403
Angelique,S21,Dig,1F,-0.9363131523132324,1.223754644393921,2.1600677967071533,-0.23605912923812866,0.6713172197341919,0.9073763489723206
Angelique,S21,Dig,20F/A,-0.38179050385951996,0.4462979584932327,0.8280884623527527,-0.10575810074806213,0.5535688996315002,0.6593270003795624
Angelique,S21,Dig,20F/S,-0.22869452834129333,1.0330083668231964,1.2617028951644897,0.037101954221725464,0.696644514799118,0.6595425605773926
Angelique,S21,NumWoGE,1F,0.8546740710735321,2.4180855751037598,1.5634115040302277,-0.041076600551605225,0.7538963854312897,0.7949729859828949
Angelique,S21,NumWoGE,20F/A,0.7853609621524811,1.7282778024673462,0.9429168403148651,0.1713654100894928,0.8007481694221497,0.6293827593326569
Angelique,S21,NumWoGE,20F/S,0.46993958950042725,1.7312027215957642,1.261263132095337,-0.07278940081596375,0.6027738153934479,0.6755632162094116
Angelique,S22,Dig,1F,-0.3475685119628906,0.5529439449310303,0.9005124568939209,-0.1009494811296463,0.4177469313144684,0.5186964124441147
Angelique,S22,Dig,20F/A,-0.048180729150772095,1.2231783866882324,1.2713591158390045,-0.04007735848426819,0.5302393138408661,0.5703166723251343
Angelique,S22,Dig,20F/S,0.9346537590026855,1.8289096355438232,0.8942558765411377,0.11474017798900604,0.6121703237295151,0.49743014574050903
Angelique,S22,NumWoGE,1F,-0.2803881764411926,0.7021161913871765,0.9825043678283691,-0.08137750625610352,0.46536487340927124,0.5467423796653748
Angelique,S22,NumWoGE,20F/A,-0.7181912660598755,0.5839537978172302,1.3021450638771057,-0.17537832260131836,0.5526273548603058,0.7280056774616241
